VENUSTIANO CARRANZA,2,6,5/16/2013
VENUSTIANO CARRANZA,3,1,5/16/2013
XOCHIMILCO,32,8,5/16/2013
ALVARO OBREGON,38,10,5/17/2013
ALVARO OBREGON,17,6,5/17/2013
ALVARO OBREGON,18,5,5/17/2013
AZCAPOTZALCO,19,8,5/17/2013
AZCAPOTZALCO,36,7,5/17/2013
BENITO JUAREZ,51,10,5/17/2013
BENITO JUAREZ,10,5,5/17/2013
BENITO JUAREZ,45,2,5/17/2013
COYOACAN,20,11,5/17/2013
COYOACAN,37,6,5/17/2013
CUAJIMALPA DE MORELOS,21,10,5/17/2013
CUAJIMALPA DE MORELOS,44,7,5/17/2013
CUAUHTEMOC,0,9,5/17/2013
CUAUHTEMOC,7,5,5/17/2013
CUAUHTEMOC,1,5,5/17/2013
CUAUHTEMOC,8,3,5/17/2013
GUSTAVO A. MADERO,50,11,5/17/2013
GUSTAVO A. MADERO,13,9,5/17/2013
GUSTAVO A. MADERO,33,7,5/17/2013
GUSTAVO A. MADERO,23,6,5/17/2013
GUSTAVO A. MADERO,22,2,5/17/2013
IZTACALCO,24,7,5/17/2013
IZTACALCO,34,6,5/17/2013
IZTAPALAPA,26,17,5/17/2013
IZTAPALAPA,25,8,5/17/2013
IZTAPALAPA,40,7,5/17/2013
MAGDALENA CONTRERAS,27,5,5/17/2013
MIGUEL HIDALGO,11,4,5/17/2013
MIGUEL HIDALGO,9,4,5/17/2013
MIGUEL HIDALGO,42,1,5/17/2013
MIGUEL HIDALGO,41,1,5/17/2013
MIGUEL HIDALGO,16,1,5/17/2013
MILPA ALTA,28,4,5/17/2013
TLAHUAC,29,8,5/17/2013
TLAHUAC,4,8,5/17/2013
TLALPAN,35,7,5/17/2013
TLALPAN,31,5,5/17/2013
TLALPAN,30,1,5/17/2013
TLALPAN,5,1,5/17/2013
VENUSTIANO CARRANZA,2,9,5/17/2013
VENUSTIANO CARRANZA,3,8,5/17/2013
XOCHIMILCO,32,10,5/17/2013
ALVARO OBREGON,17,9,5/18/2013
ALVARO OBREGON,18,4,5/18/2013
ALVARO OBREGON,38,4,5/18/2013
ALVARO OBREGON,46,1,5/18/2013
AZCAPOTZALCO,19,9,5/18/2013
AZCAPOTZALCO,36,3,5/18/2013
BENITO JUAREZ,10,3,5/18/2013
BENITO JUAREZ,51,1,5/18/2013
COYOACAN,20,10,5/18/2013
COYOACAN,37,5,5/18/2013
CUAJIMALPA DE MORELOS,21,1,5/18/2013
CUAUHTEMOC,1,4,5/18/2013
CUAUHTEMOC,8,3,5/18/2013
CUAUHTEMOC,0,3,5/18/2013
CUAUHTEMOC,6,1,5/18/2013
CUAUHTEMOC,14,1,5/18/2013
GUSTAVO A. MADERO,23,7,5/18/2013
GUSTAVO A. MADERO,22,7,5/18/2013
GUSTAVO A. MADERO,50,4,5/18/2013
GUSTAVO A. MADERO,33,3,5/18/2013
IZTAPALAPA,25,7,5/18/2013
IZTAPALAPA,40,2,5/18/2013
MIGUEL HIDALGO,11,5,5/18/2013
MIGUEL HIDALGO,16,3,5/18/2013
MIGUEL HIDALGO,42,1,5/18/2013
MIGUEL HIDALGO,9,1,5/18/2013
MILPA ALTA,28,1,5/18/2013
TLAHUAC,4,4,5/18/2013
TLALPAN,35,6,5/18/2013
TLALPAN,30,6,5/18/2013
TLALPAN,31,2,5/18/2013
VENUSTIANO CARRANZA,2,4,5/18/2013
VENUSTIANO CARRANZA,3,1,5/18/2013
XOCHIMILCO,32,6,5/18/2013
